Occupation code,Occupation title,Level,Employment,Annual mean wage
47-3013,Helpers--Electricians,detail,73920,"$35,440"
47-3014,"Helpers--Painters, Paperhangers, Plasterer...",detail,9500,"$33,520"
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters...",detail,55740,"$34,990"
47-3016,Helpers--Roofers,detail,8390,"$35,080"
47-3019,"Helpers, Construction Trades, All Other",detail,27850,"$35,140"
47-4000,Other Construction and Related Workers,minor,438940,"$52,750"
47-4011,Construction and Building Inspectors,detail,113770,"$66,470"
47-4021,Elevator and Escalator Installers and Repa...,detail,24730,"$86,200"
47-4031,Fence Erectors,detail,27010,"$40,120"
47-4041,Hazardous Materials Removal Workers,detail,44010,"$49,170"
47-4051,Highway Maintenance Workers,detail,149890,"$43,200"
47-4061,Rail-Track Laying and Maintenance Equipmen...,detail,17590,"$57,430"
47-4071,Septic Tank Servicers and Sewer Pipe Clean...,detail,29880,"$43,930"
47-4090,Miscellaneous Construction and Related Wor...,broad,32050,"$44,180"
47-5000,Extraction Workers,minor,226840,"$49,520"
47-5010,"Derrick, Rotary Drill, and Service Unit Op...",broad,68840,"$53,670"
47-5011,"Derrick Operators, Oil and Gas",detail,9350,"$50,280"
47-5012,"Rotary Drill Operators, Oil and Gas",detail,15650,"$58,940"
47-5013,"Service Unit Operators, Oil and Gas",detail,43840,"$52,510"
47-5022,Excavating and Loading Machine and Draglin...,detail,40240,"$48,500"
47-5041,Continuous Mining Machine Operators,detail,14990,"$58,340"
47-5043,"Roof Bolters, Mining",detail,2080,"$61,900"
47-5044,"Loading and Moving Machine Operators, Unde...",detail,3520,"$56,100"
47-5051,"Rock Splitters, Quarry",detail,4640,"$38,430"
47-5071,"Roustabouts, Oil and Gas",detail,44710,"$42,160"
47-5081,Helpers--Extraction Workers,detail,12740,"$39,150"
47-5097,"Earth Drillers, Except Oil and Gas; and Ex...",detail,22540,"$51,040"
47-5098,Underground Mining Machine Operators and E...,detail,12540,"$53,730"
49-0000,"Installation, Maintenance, and Repair Occu...",major,5486930,"$52,360"
49-1011,"First-Line Supervisors of Mechanics, Insta...",detail,475000,"$73,100"
49-2000,Electrical and Electronic Equipment Mechan...,minor,526000,"$57,400"
49-2011,"Computer, Automated Teller, and Office Mac...",detail,91930,"$43,790"
