Occupation code,Occupation title,Level,Employment,Annual mean wage
00-0000,All Occupations,total,139099570,"$56,310"
11-0000,Management Occupations,major,7947300,"$126,480"
11-1000,Top Executives,minor,2601070,"$129,920"
11-1011,Chief Executives,detail,202360,"$197,840"
11-1021,General and Operations Managers,detail,2347420,"$125,740"
11-1031,Legislators,detail,51290,"$53,560"
11-2000,"Advertising, Marketing, Promotions, Public...",minor,763970,"$148,740"
11-2011,Advertising and Promotions Managers,detail,22490,"$147,560"
11-2020,Marketing and Sales Managers,broad,660380,"$150,400"
11-2021,Marketing Managers,detail,270200,"$154,470"
11-2022,Sales Managers,detail,390170,"$147,580"
11-2030,Public Relations and Fundraising Managers,broad,81110,"$135,580"
11-3000,Operations Specialties Managers,minor,2012370,"$138,590"
11-3010,Administrative Services and Facilities Man...,broad,307620,"$108,120"
11-3021,Computer and Information Systems Managers,detail,457290,"$161,730"
11-3031,Financial Managers,detail,653080,"$151,510"
11-3051,Industrial Production Managers,detail,179570,"$118,190"
11-3061,Purchasing Managers,detail,70960,"$132,660"
11-3071,"Transportation, Storage, and Distribution ...",detail,132210,"$105,100"
11-3111,Compensation and Benefits Managers,detail,16340,"$137,160"
11-3121,Human Resources Managers,detail,156600,"$134,580"
11-3131,Training and Development Managers,detail,38710,"$125,920"
11-9000,Other Management Occupations,minor,2569880,"$106,910"
11-9013,"Farmers, Ranchers, and Other Agricultural ...",detail,5670,"$76,810"
11-9021,Construction Managers,detail,285640,"$107,260"
11-9030,Education and Childcare Administrators,broad,493350,"$101,160"
11-9031,"Education and Childcare Administrators, Pr...",detail,46410,"$54,940"
11-9032,"Education Administrators, Kindergarten thr...",detail,262480,"$103,010"
11-9033,"Education Administrators, Postsecondary",detail,140880,"$115,200"
11-9039,"Education Administrators, All Other",detail,43580,"$93,830"
11-9041,Architectural and Engineering Managers,detail,195900,"$158,100"
11-9051,Food Service Managers,detail,197010,"$61,000"
11-9071,Gambling Managers,detail,3240,"$85,440"
11-9081,Lodging Managers,detail,31790,"$65,270"
11-9111,Medical and Health Services Managers,detail,402540,"$118,800"
11-9121,Natural Sciences Managers,detail,75870,"$154,930"
11-9131,Postmasters and Mail Superintendents,detail,13880,"$79,660"
11-9141,"Property, Real Estate, and Community Assoc...",detail,219800,"$73,210"
11-9151,Social and Community Service Managers,detail,155800,"$75,140"
11-9161,Emergency Management Directors,detail,10210,"$84,310"
11-9171,Funeral Home Managers,detail,10010,"$91,530"
11-9198,"Personal Service Managers, All Other; Ente...",detail,469160,"$123,980"
13-0000,Business and Financial Operations Occupati...,major,8387490,"$80,680"
13-1000,Business Operations Specialists,minor,5632020,"$78,320"
13-1011,"Agents and Business Managers of Artists, P...",detail,16240,"$98,070"
13-1020,Buyers and Purchasing Agents,broad,419920,"$72,370"
13-1030,"Claims Adjusters, Appraisers, Examiners, a...",broad,300380,"$70,560"
13-1031,"Claims Adjusters, Examiners, and Investiga...",detail,287150,"$70,650"
13-1032,"Insurance Appraisers, Auto Damage",detail,13220,"$68,540"
13-1041,Compliance Officers,detail,327360,"$75,620"
13-1051,Cost Estimators,detail,199360,"$72,960"
13-1070,Human Resources Workers,broad,718120,"$69,950"
13-1071,Human Resources Specialists,detail,647810,"$69,430"
13-1075,Labor Relations Specialists,detail,70050,"$74,870"
13-1081,Logisticians,detail,184230,"$79,830"
13-1111,Management Analysts,detail,734000,"$97,580"
13-1121,"Meeting, Convention, and Event Planners",detail,109800,"$55,890"
13-1131,Fundraisers,detail,82140,"$64,550"
13-1141,"Compensation, Benefits, and Job Analysis S...",detail,87870,"$72,610"
13-1151,Training and Development Specialists,detail,318040,"$67,440"
13-1161,Market Research Analysts and Marketing Spe...,detail,690160,"$73,970"
13-1198,Project Management Specialists and Busines...,detail,1444420,"$84,290"
13-2000,Financial Specialists,minor,2755470,"$85,510"
13-2011,Accountants and Auditors,detail,1274620,"$81,660"
13-2020,Property Appraisers and Assessors,broad,55990,"$65,630"
13-2031,Budget Analysts,detail,49260,"$82,690"
13-2041,Credit Analysts,detail,72090,"$86,170"
13-2052,Personal Financial Advisors,detail,218050,"$122,490"
13-2053,Insurance Underwriters,detail,101790,"$80,390"
13-2061,Financial Examiners,detail,68210,"$92,730"
13-2070,Credit Counselors and Loan Officers,broad,339470,"$74,490"
13-2071,Credit Counselors,detail,30770,"$49,940"
13-2072,Loan Officers,detail,308700,"$76,930"
13-2080,"Tax Examiners, Collectors and Preparers, a...",broad,115750,"$57,000"
13-2081,"Tax Examiners and Collectors, and Revenue ...",detail,53150,"$62,040"
13-2082,Tax Preparers,detail,62600,"$52,710"
13-2098,"Financial and Investment Analysts, Financi...",detail,460250,"$96,630"
15-0000,Computer and Mathematical Occupations,major,4587700,"$96,770"
15-1200,Computer Occupations,minor,4368000,"$96,630"
15-1210,Computer and Information Analysts,broad,712460,"$100,680"
15-1211,Computer Systems Analysts,detail,574450,"$99,020"
15-1212,Information Security Analysts,detail,138000,"$107,580"
15-1221,Computer and Information Research Scientists,detail,30220,"$130,890"
15-1230,Computer Support Specialists,broad,819040,"$60,160"
15-1231,Computer Network Support Specialists,detail,184220,"$71,040"
15-1232,Computer User Support Specialists,detail,634820,"$57,000"
15-1240,Database and Network Administrators and Ar...,broad,632540,"$99,420"
15-1241,Computer Network Architects,detail,159350,"$119,230"
15-1244,Network and Computer Systems Administrators,detail,339560,"$89,460"
15-1245,Database Administrators and Architects,detail,133630,"$101,090"
15-1250,"Software and Web Developers, Programmers, ...",broad,1811160,"$109,950"
15-1251,Computer Programmers,detail,178140,"$95,640"
15-1256,Software Developers and Software Quality A...,detail,1476800,"$114,270"
15-1257,Web Developers and Digital Interface Desig...,detail,156220,"$85,490"
15-1299,"Computer Occupations, All Other",detail,362580,"$96,740"
15-2000,Mathematical Science Occupations,minor,219700,"$99,700"
15-2011,Actuaries,detail,22480,"$123,180"
15-2021,Mathematicians,detail,2460,"$112,530"
15-2031,Operations Research Analysts,detail,96220,"$92,280"
15-2041,Statisticians,detail,38860,"$97,170"
15-2098,Data Scientists and Mathematical Science O...,detail,59680,"$103,930"
17-0000,Architecture and Engineering Occupations,major,2515040,"$90,300"
17-1000,"Architects, Surveyors, and Cartographers",minor,180930,"$82,030"
17-1010,"Architects, Except Naval",broad,124630,"$87,130"
17-1011,"Architects, Except Landscape and Naval",detail,103900,"$89,470"
17-1012,Landscape Architects,detail,20730,"$75,440"
17-1020,"Surveyors, Cartographers, and Photogrammet...",broad,56310,"$70,740"
17-1021,Cartographers and Photogrammetrists,detail,12600,"$72,420"
17-1022,Surveyors,detail,43710,"$70,260"
17-2000,Engineers,minor,1673440,"$102,500"
17-2011,Aerospace Engineers,detail,60630,"$121,110"
17-2021,Agricultural Engineers,detail,1440,"$101,620"
17-2031,Bioengineers and Biomedical Engineers,detail,18660,"$98,340"
17-2041,Chemical Engineers,detail,25770,"$114,820"
17-2051,Civil Engineers,detail,300850,"$95,440"
17-2061,Computer Hardware Engineers,detail,64710,"$126,140"
17-2070,Electrical and Electronics Engineers,broad,307540,"$108,510"
17-2071,Electrical Engineers,detail,185220,"$105,990"
17-2072,"Electronics Engineers, Except Computer",detail,122320,"$112,320"
17-2081,Environmental Engineers,detail,50260,"$96,890"
17-2110,"Industrial Engineers, Including Health and...",broad,313980,"$93,890"
17-2111,"Health and Safety Engineers, Except Mining...",detail,23780,"$97,330"
17-2112,Industrial Engineers,detail,290190,"$93,610"
17-2121,Marine Engineers and Naval Architects,detail,8700,"$99,590"
17-2131,Materials Engineers,detail,24740,"$100,550"
17-2141,Mechanical Engineers,detail,293960,"$95,560"
17-2151,"Mining and Geological Engineers, Including...",detail,6270,"$100,140"
17-2161,Nuclear Engineers,detail,15700,"$125,130"
17-2171,Petroleum Engineers,detail,27850,"$154,330"
17-2199,"Engineers, All Other",detail,152380,"$107,060"
17-3000,"Drafters, Engineering Technicians, and Map...",minor,660660,"$61,660"
17-3010,Drafters,broad,187670,"$60,390"
17-3011,Architectural and Civil Drafters,detail,99180,"$59,120"
17-3012,Electrical and Electronics Drafters,detail,23020,"$65,720"
17-3013,Mechanical Drafters,detail,51620,"$61,490"
17-3019,"Drafters, All Other",detail,13850,"$56,530"
17-3020,"Engineering Technologists and Technicians,...",broad,419620,"$63,740"
17-3021,Aerospace Engineering and Operations Techn...,detail,11900,"$70,680"
17-3022,Civil Engineering Technologists and Techni...,detail,67270,"$56,590"
17-3023,Electrical and Electronic Engineering Tech...,detail,115270,"$68,310"
17-3024,Electro-Mechanical and Mechatronics Techno...,detail,13160,"$62,800"
17-3025,Environmental Engineering Technologists an...,detail,17070,"$56,570"
17-3026,Industrial Engineering Technologists and T...,detail,62980,"$59,920"
17-3027,Mechanical Engineering Technologists and T...,detail,39880,"$60,880"
17-3031,Surveying and Mapping Technicians,detail,53370,"$49,770"
17-3098,Calibration Technologists and Technicians ...,detail,92100,"$67,640"
19-0000,"Life, Physical, and Social Science Occupat...",major,1296060,"$79,360"
19-1000,Life Scientists,minor,311840,"$91,710"
19-1010,Agricultural and Food Scientists,broad,29710,"$76,320"
19-1011,Animal Scientists,detail,2680,"$74,540"
19-1012,Food Scientists and Technologists,detail,13080,"$80,190"
19-1013,Soil and Plant Scientists,detail,13950,"$73,040"
19-1020,Biological Scientists,broad,110600,"$91,550"
19-1021,Biochemists and Biophysicists,detail,32010,"$104,810"
19-1022,Microbiologists,detail,19710,"$91,840"
19-1023,Zoologists and Wildlife Biologists,detail,17200,"$70,510"
19-1029,"Biological Scientists, All Other",detail,41680,"$89,910"
19-1030,Conservation Scientists and Foresters,broad,31380,"$68,120"
19-1031,Conservation Scientists,detail,22020,"$69,020"
19-1032,Foresters,detail,9360,"$66,000"
19-1040,Medical Scientists,broad,133620,"$100,780"
19-1041,Epidemiologists,detail,7500,"$83,620"
19-1042,"Medical Scientists, Except Epidemiologists",detail,126110,"$101,800"
19-1099,"Life Scientists, All Other",detail,6540,"$92,170"
19-2000,Physical Scientists,minor,255860,"$93,560"
19-2010,Astronomers and Physicists,broad,18080,"$136,480"
19-2011,Astronomers,detail,1910,"$126,250"
19-2012,Physicists,detail,16160,"$137,700"
19-2021,Atmospheric and Space Scientists,detail,10210,"$100,550"
19-2030,Chemists and Materials Scientists,broad,89860,"$87,800"
19-2031,Chemists,detail,82940,"$86,410"
19-2032,Materials Scientists,detail,6930,"$104,450"
19-2040,Environmental Scientists and Geoscientists,broad,118660,"$88,140"
19-2041,"Environmental Scientists and Specialists, ...",detail,84610,"$80,090"
19-2042,"Geoscientists, Except Hydrologists and Geo...",detail,27890,"$112,110"
19-2043,Hydrologists,detail,6170,"$90,150"
19-2099,"Physical Scientists, All Other",detail,19050,"$110,100"
19-3000,Social Scientists and Related Workers,minor,247580,"$90,150"
19-3011,Economists,detail,17520,"$120,880"
19-3022,Survey Researchers,detail,10350,"$66,960"
19-3030,Psychologists,broad,127070,"$90,710"
19-3031,"Clinical, Counseling, and School Psycholog...",detail,111320,"$89,290"
19-3032,Industrial-Organizational Psychologists,detail,780,"$112,690"
19-3039,"Psychologists, All Other",detail,14960,"$100,130"
19-3041,Sociologists,detail,2470,"$93,420"
19-3051,Urban and Regional Planners,detail,38190,"$79,410"
19-3090,Miscellaneous Social Scientists and Relate...,broad,51980,"$90,750"
19-3091,Anthropologists and Archeologists,detail,7180,"$69,960"
19-3092,Geographers,detail,1450,"$85,620"
19-3093,Historians,detail,2770,"$68,400"
19-3094,Political Scientists,detail,6010,"$124,100"
19-3099,"Social Scientists and Related Workers, All...",detail,34570,"$91,280"
19-4000,"Life, Physical, and Social Science Technic...",minor,363880,"$53,010"
19-4010,Agricultural and Food Science Technicians,broad,21940,"$45,920"
19-4021,Biological Technicians,detail,80640,"$49,490"
19-4031,Chemical Technicians,detail,63490,"$53,700"
19-4040,Environmental Science and Geoscience Techn...,broad,47440,"$54,300"
19-4042,Environmental Science and Protection Techn...,detail,31860,"$50,960"
19-4045,Geological and Hydrologic Technicians,detail,15580,"$61,130"
19-4051,Nuclear Technicians,detail,6160,"$83,810"
19-4061,Social Science Research Assistants,detail,35330,"$53,560"
19-4071,Forest and Conservation Technicians,detail,30150,"$42,780"
19-4090,"Miscellaneous Life, Physical, and Social S...",broad,78720,"$58,530"
19-4092,Forensic Science Technicians,detail,16640,"$64,890"
19-4099,"Life, Physical, and Social Science Technic...",detail,62080,"$56,830"
19-5010,Occupational Health and Safety Specialists...,broad,116910,"$74,480"
19-5011,Occupational Health and Safety Specialists,detail,95960,"$78,110"
19-5012,Occupational Health and Safety Technicians,detail,20950,"$57,870"
21-0000,Community and Social Service Occupations,major,2231070,"$52,180"
21-1000,"Counselors, Social Workers, and Other Comm...",minor,2150050,"$52,120"
21-1010,Counselors,broad,774270,"$54,780"
21-1012,"Educational, Guidance, and Career Counselo...",detail,292230,"$62,320"
21-1013,Marriage and Family Therapists,detail,60850,"$56,890"
21-1015,Rehabilitation Counselors,detail,100260,"$42,080"
21-1018,"Substance Abuse, Behavioral Disorder, and ...",detail,293620,"$51,550"
21-1019,"Counselors, All Other",detail,27310,"$50,800"
21-1020,Social Workers,broad,681400,"$55,950"
21-1021,"Child, Family, and School Social Workers",detail,328120,"$52,370"
21-1022,Healthcare Social Workers,detail,176110,"$60,470"
21-1023,Mental Health and Substance Abuse Social W...,detail,116780,"$54,540"
21-1029,"Social Workers, All Other",detail,60390,"$64,940"
21-1090,Miscellaneous Community and Social Service...,broad,694380,"$45,390"
21-1091,Health Education Specialists,detail,57920,"$62,120"
21-1092,Probation Officers and Correctional Treatm...,detail,90070,"$61,900"
21-1093,Social and Human Service Assistants,detail,399920,"$38,230"
21-1094,Community Health Workers,detail,58670,"$46,000"
21-1099,"Community and Social Service Specialists, ...",detail,87800,"$49,600"
21-2000,Religious Workers,minor,81020,"$53,790"
21-2011,Clergy,detail,52260,"$56,560"
21-2021,"Directors, Religious Activities and Educat...",detail,19860,"$52,660"
21-2099,"Religious Workers, All Other",detail,8900,"$40,070"
23-0000,Legal Occupations,major,1154740,"$112,320"
23-1000,"Lawyers, Judges, and Related Workers",minor,721750,"$144,970"
23-1010,Lawyers and Judicial Law Clerks,broad,672820,"$147,050"
23-1011,Lawyers,detail,658120,"$148,910"
23-1012,Judicial Law Clerks,detail,14690,"$63,860"
23-1020,"Judges, Magistrates, and Other Judicial Wo...",broad,48930,"$116,390"
23-1021,"Administrative Law Judges, Adjudicators, a...",detail,14570,"$102,050"
23-1022,"Arbitrators, Mediators, and Conciliators",detail,5810,"$76,440"
23-1023,"Judges, Magistrate Judges, and Magistrates",detail,28550,"$131,850"
23-2000,Legal Support Workers,minor,432990,"$57,890"
23-2011,Paralegals and Legal Assistants,detail,332720,"$56,610"
23-2090,Miscellaneous Legal Support Workers,broad,100270,"$62,150"
23-2093,"Title Examiners, Abstractors, and Searchers",detail,54960,"$52,950"
23-2099,"Legal Support Workers, All Other",detail,45310,"$73,320"
25-0000,Educational Instruction and Library Occupa...,major,8446910,"$59,810"
25-1000,Postsecondary Teachers,minor,1369930,"$93,330"
25-1011,"Business Teachers, Postsecondary",detail,79810,"$107,270"
25-1020,"Math and Computer Science Teachers, Postse...",broad,81780,"$91,450"
25-1021,"Computer Science Teachers, Postsecondary",detail,32230,"$98,680"
25-1022,"Mathematical Science Teachers, Postsecondary",detail,49550,"$86,760"
25-1030,"Engineering and Architecture Teachers, Pos...",broad,45430,"$112,110"
25-1031,"Architecture Teachers, Postsecondary",detail,6910,"$100,820"
25-1032,"Engineering Teachers, Postsecondary",detail,38520,"$114,130"
25-1040,"Life Sciences Teachers, Postsecondary",broad,61480,"$100,400"
25-1041,"Agricultural Sciences Teachers, Postsecond...",detail,8520,"$96,200"
25-1042,"Biological Science Teachers, Postsecondary",detail,51500,"$101,320"
25-1043,Forestry and Conservation Science Teachers...,detail,1460,"$92,420"
25-1050,"Physical Sciences Teachers, Postsecondary",broad,52810,"$98,580"
25-1051,"Atmospheric, Earth, Marine, and Space Scie...",detail,11750,"$104,710"
25-1052,"Chemistry Teachers, Postsecondary",detail,21530,"$94,630"
25-1053,"Environmental Science Teachers, Postsecond...",detail,5860,"$94,520"
25-1054,"Physics Teachers, Postsecondary",detail,13670,"$101,290"
25-1060,"Social Sciences Teachers, Postsecondary",broad,115040,"$94,270"
25-1061,"Anthropology and Archeology Teachers, Post...",detail,5590,"$98,740"
25-1062,"Area, Ethnic, and Cultural Studies Teacher...",detail,9960,"$88,790"
25-1063,"Economics Teachers, Postsecondary",detail,13080,"$123,720"
25-1064,"Geography Teachers, Postsecondary",detail,3720,"$87,160"
25-1065,"Political Science Teachers, Postsecondary",detail,15130,"$100,970"
25-1066,"Psychology Teachers, Postsecondary",detail,36520,"$89,960"
25-1067,"Sociology Teachers, Postsecondary",detail,13420,"$85,180"
25-1069,"Social Sciences Teachers, Postsecondary, A...",detail,17620,"$85,670"
25-1070,"Health Teachers, Postsecondary",broad,261130,"$115,330"
25-1071,"Health Specialties Teachers, Postsecondary",detail,200040,"$124,890"
25-1072,"Nursing Instructors and Teachers, Postseco...",detail,61100,"$84,060"
25-1080,"Education and Library Science Teachers, Po...",broad,61790,"$75,180"
25-1081,"Education Teachers, Postsecondary",detail,57560,"$75,010"
25-1082,"Library Science Teachers, Postsecondary",detail,4230,"$77,560"
25-1110,"Law, Criminal Justice, and Social Work Tea...",broad,42540,"$96,870"
25-1111,Criminal Justice and Law Enforcement Teach...,detail,14030,"$74,740"
25-1112,"Law Teachers, Postsecondary",detail,14930,"$134,760"
25-1113,"Social Work Teachers, Postsecondary",detail,13580,"$78,110"
25-1120,"Arts, Communications, History, and Humanit...",broad,250550,"$83,620"
25-1121,"Art, Drama, and Music Teachers, Postsecond...",detail,91170,"$84,780"
25-1122,"Communications Teachers, Postsecondary",detail,28430,"$80,940"
25-1123,"English Language and Literature Teachers, ...",detail,64800,"$81,340"
25-1124,"Foreign Language and Literature Teachers, ...",detail,22790,"$80,410"
25-1125,"History Teachers, Postsecondary",detail,20450,"$85,630"
25-1126,"Philosophy and Religion Teachers, Postseco...",detail,22900,"$90,160"
25-1190,Miscellaneous Postsecondary Teachers,broad,317580,"$77,650"
25-1192,"Family and Consumer Sciences Teachers, Pos...",detail,2270,"$81,580"
25-1193,"Recreation and Fitness Studies Teachers, P...",detail,14730,"$75,430"
25-1194,"Career/Technical Education Teachers, Posts...",detail,105830,"$61,710"
25-1199,"Postsecondary Teachers, All Other",detail,194740,"$86,430"
25-2000,"Preschool, Elementary, Middle, Secondary, ...",minor,3998620,"$63,100"
25-2010,Preschool and Kindergarten Teachers,broad,491020,"$42,570"
25-2011,"Preschool Teachers, Except Special Education",detail,370940,"$36,550"
25-2012,"Kindergarten Teachers, Except Special Educ...",detail,120080,"$61,170"
25-2020,Elementary and Middle School Teachers,broad,1976050,"$65,300"
25-2021,"Elementary School Teachers, Except Special...",detail,1364870,"$65,420"
25-2022,"Middle School Teachers, Except Special and...",detail,599520,"$64,990"
25-2023,"Career/Technical Education Teachers, Middl...",detail,11670,"$66,950"
25-2030,Secondary School Teachers,broad,1064540,"$67,240"
25-2031,"Secondary School Teachers, Except Special ...",detail,991000,"$67,340"
25-2032,"Career/Technical Education Teachers, Secon...",detail,73530,"$65,870"
25-2050,Special Education Teachers,broad,467020,"$65,920"
25-2051,"Special Education Teachers, Preschool",detail,20300,"$68,110"
25-2052,"Special Education Teachers, Kindergarten a...",detail,191170,"$64,790"
25-2057,"Special Education Teachers, Middle School",detail,80110,"$66,300"
25-2058,"Special Education Teachers, Secondary School",detail,142500,"$66,490"
25-2059,"Special Education Teachers, All Other",detail,32950,"$67,670"
25-3000,Other Teachers and Instructors,minor,1086850,"$43,520"
25-3011,"Adult Basic Education, Adult Secondary Edu...",detail,42910,"$59,810"
25-3021,Self-Enrichment Teachers,detail,222700,"$47,930"
25-3031,"Substitute Teachers, Short-Term",detail,512030,"$36,090"
25-3097,"Tutors and Teachers and Instructors, All O...",detail,309220,"$50,390"
25-4000,"Librarians, Curators, and Archivists",minor,254360,"$54,400"
25-4010,"Archivists, Curators, and Museum Technicians",broad,30230,"$56,960"
25-4011,Archivists,detail,6550,"$61,210"
25-4012,Curators,detail,11750,"$61,650"
25-4013,Museum Technicians and Conservators,detail,11930,"$49,990"
25-4022,Librarians and Media Collections Specialists,detail,135070,"$63,560"
25-4031,Library Technicians,detail,89070,"$39,630"
25-9000,Other Educational Instruction and Library ...,minor,1737130,"$36,790"
25-9021,Farm and Home Management Educators,detail,8090,"$54,870"
25-9031,Instructional Coordinators,detail,174900,"$70,160"
25-9040,Teaching Assistants,broad,1411590,"$31,500"
25-9044,"Teaching Assistants, Postsecondary",detail,138740,"$39,460"
25-9045,"Teaching Assistants, Except Postsecondary",detail,1272840,"$30,630"
25-9099,Educational Instruction and Library Worker...,detail,142550,"$47,210"
27-0000,"Arts, Design, Entertainment, Sports, and M...",major,1857500,"$64,400"
27-1000,Art and Design Workers,minor,594670,"$59,150"
27-1010,Artists and Related Workers,broad,89800,"$93,530"
27-1011,Art Directors,detail,40950,"$114,490"
27-1012,Craft Artists,detail,4090,"$38,260"
27-1013,"Fine Artists, Including Painters, Sculptor...",detail,11070,"$65,020"
27-1014,Special Effects Artists and Animators,detail,26460,"$88,080"
27-1019,"Artists and Related Workers, All Other",detail,7220,"$69,650"
27-1020,Designers,broad,504880,"$53,030"
27-1021,Commercial and Industrial Designers,detail,30100,"$76,290"
27-1022,Fashion Designers,detail,21050,"$87,210"
27-1023,Floral Designers,detail,36810,"$30,670"
27-1024,Graphic Designers,detail,201440,"$58,370"
27-1025,Interior Designers,detail,59170,"$61,400"
27-1026,Merchandise Displayers and Window Trimmers,detail,134660,"$34,550"
27-1027,Set and Exhibit Designers,detail,10980,"$64,610"
27-1029,"Designers, All Other",detail,10680,"$71,340"
27-2000,"Entertainers and Performers, Sports and Re...",minor,465780,"$65,700"
27-2010,"Actors, Producers, and Directors",broad,163950,"$88,190"
27-2012,Producers and Directors,detail,119490,"$96,690"
27-2020,"Athletes, Coaches, Umpires, and Related Wo...",broad,233160,"$48,310"
27-2021,Athletes and Sports Competitors,detail,8380,"$94,740"
27-2022,Coaches and Scouts,detail,208180,"$47,100"
27-2023,"Umpires, Referees, and Other Sports Offici...",detail,16590,"$40,140"
27-2030,Dancers and Choreographers,broad,10950,"$52,110"
27-2032,Choreographers,detail,3580,"$52,000"
27-2041,Music Directors and Composers,detail,9200,"$65,720"
27-3000,Media and Communication Workers,minor,591650,"$70,180"
27-3011,Broadcast Announcers and Radio Disc Jockeys,detail,27290,"$57,300"
27-3023,"News Analysts, Reporters, and Journalists",detail,41580,"$66,000"
27-3031,Public Relations Specialists,detail,244550,"$71,940"
27-3040,Writers and Editors,broad,186490,"$76,270"
27-3041,Editors,detail,93370,"$73,910"
27-3042,Technical Writers,detail,48880,"$78,590"
27-3043,Writers and Authors,detail,44240,"$78,680"
27-3090,Miscellaneous Media and Communication Work...,broad,91740,"$58,840"
27-3091,Interpreters and Translators,detail,56920,"$58,140"
27-3092,Court Reporters and Simultaneous Captioners,detail,13880,"$66,710"
27-3099,"Media and Communication Workers, All Other",detail,20940,"$55,540"
27-4000,Media and Communication Equipment Workers,minor,205400,"$59,990"
27-4011,Audio and Video Technicians,detail,62360,"$53,390"
27-4012,Broadcast Technicians,detail,25960,"$49,250"
27-4014,Sound Engineering Technicians,detail,10870,"$67,210"
27-4021,Photographers,detail,41600,"$50,290"
27-4030,"Television, Video, and Film Camera Operato...",broad,42750,"$76,130"
27-4031,"Camera Operators, Television, Video, and F...",detail,20340,"$67,590"
27-4032,Film and Video Editors,detail,22410,"$83,880"
27-4098,Lighting Technicians and Media and Communi...,detail,21860,"$74,880"
29-0000,Healthcare Practitioners and Technical Occ...,major,8579180,"$85,900"
29-1000,Healthcare Diagnosing or Treating Practiti...,minor,5611620,"$105,220"
29-1011,Chiropractors,detail,34760,"$83,830"
29-1020,Dentists,broad,111210,"$186,300"
29-1021,"Dentists, General",detail,95920,"$180,830"
29-1022,Oral and Maxillofacial Surgeons,detail,4120,"$234,990"
29-1023,Orthodontists,detail,5040,"$237,990"
29-1024,Prosthodontists,detail,530,"$214,870"
29-1029,"Dentists, All Other Specialists",detail,5610,"$194,930"
29-1031,Dietitians and Nutritionists,detail,66330,"$64,150"
29-1041,Optometrists,detail,36690,"$125,440"
29-1051,Pharmacists,detail,315470,"$125,460"
29-1071,Physician Assistants,detail,125280,"$116,080"
29-1081,Podiatrists,detail,9710,"$151,110"
29-1120,Therapists,broad,684330,"$82,030"
29-1122,Occupational Therapists,detail,126610,"$87,480"
29-1123,Physical Therapists,detail,220870,"$91,680"
29-1124,Radiation Therapists,detail,17390,"$94,300"
29-1125,Recreational Therapists,detail,20080,"$51,260"
29-1126,Respiratory Therapists,detail,131890,"$65,640"
29-1127,Speech-Language Pathologists,detail,148450,"$83,240"
29-1128,Exercise Physiologists,detail,7330,"$54,020"
29-1129,"Therapists, All Other",detail,11710,"$62,090"
29-1131,Veterinarians,detail,73710,"$108,350"
29-1141,Registered Nurses,detail,2986500,"$80,010"
29-1151,Nurse Anesthetists,detail,41960,"$189,190"
29-1161,Nurse Midwives,detail,7120,"$115,540"
29-1171,Nurse Practitioners,detail,211280,"$114,510"
29-1181,Audiologists,detail,13300,"$89,230"
29-1211,Anesthesiologists,detail,28590,"$271,440"
29-1215,Family Medicine Physicians,detail,98590,"$214,370"
29-1216,General Internal Medicine Physicians,detail,50600,"$210,960"
29-1218,Obstetricians and Gynecologists,detail,18900,"$239,120"
29-1221,"Pediatricians, General",detail,27550,"$184,570"
29-1223,Psychiatrists,detail,25540,"$217,100"
29-1228,"Physicians, All Other; and Ophthalmologist...",detail,375390,"$218,850"
29-1248,"Surgeons, Except Ophthalmologists",detail,37900,"$251,650"
29-1290,Miscellaneous Healthcare Diagnosing or Tre...,broad,230900,"$81,060"
29-1292,Dental Hygienists,detail,194830,"$78,050"
29-1298,Acupuncturists and Healthcare Diagnosing o...,detail,36070,"$97,270"
29-2000,Health Technologists and Technicians,minor,2861180,"$48,990"
29-2010,Clinical Laboratory Technologists and Tech...,broad,326220,"$55,990"
29-2031,Cardiovascular Technologists and Technicians,detail,55980,"$60,940"
29-2032,Diagnostic Medical Sonographers,detail,73920,"$77,790"
29-2033,Nuclear Medicine Technologists,detail,17510,"$82,080"
29-2034,Radiologic Technologists and Technicians,detail,206720,"$64,840"
29-2035,Magnetic Resonance Imaging Technologists,detail,39270,"$75,960"
29-2040,Emergency Medical Technicians and Paramedics,broad,257700,"$40,370"
29-2050,Health Practitioner Support Technologists ...,broad,803920,"$38,970"
29-2051,Dietetic Technicians,detail,26430,"$32,920"
29-2052,Pharmacy Technicians,detail,415310,"$36,450"
29-2053,Psychiatric Technicians,detail,85330,"$38,080"
29-2055,Surgical Technologists,detail,107400,"$51,510"
29-2056,Veterinary Technologists and Technicians,detail,109490,"$37,860"
29-2057,Ophthalmic Medical Technicians,detail,59960,"$40,010"
29-2061,Licensed Practical and Licensed Vocational...,detail,676440,"$50,090"
29-2081,"Opticians, Dispensing",detail,68180,"$41,380"
29-2091,Orthotists and Prosthetists,detail,9550,"$74,120"
29-2092,Hearing Aid Specialists,detail,7770,"$54,630"
29-2098,"Medical Dosimetrists, Medical Records Spec...",detail,318010,"$48,270"
29-9000,Other Healthcare Practitioners and Technic...,minor,106380,"$59,280"
29-9091,Athletic Trainers,detail,27430,"$52,230"
29-9092,Genetic Counselors,detail,2280,"$89,710"
29-9098,"Health Information Technologists, Medical ...",detail,76670,"$60,900"
31-0000,Healthcare Support Occupations,major,6440880,"$32,250"
31-1100,Home Health and Personal Care Aides; and N...,minor,4677760,"$29,320"
31-1120,Home Health and Personal Care Aides,broad,3211590,"$28,060"
31-1130,"Nursing Assistants, Orderlies, and Psychia...",broad,1466170,"$32,090"
